UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2016,999,323889854,159463578,164426276,123344205,125542748,20634341,22452765,2049649,2012732,8838090,9729203,394796,382423,4202497,4306405,127077650,129346608,22485272,24395657,3344157,3373048,10391970,11288666,773645,767018,130271482,135831386,97646637,100416071,19267202,21037459,1177088,1211739,8549568,9438898,288365,283821,3342622,3443398,100614027,103453735,20727890,22579488,2103284,2205694,9865596,10759422,585663,587292,29192096,28594890,25697568,25126677,1367139,1415306,872561,800993,288522,290305,106431,98602,859875,863007,26463623,25892873,1757382,1816169,1240873,1167354,526374,529244,187982,179726
R,7,2016,0,3978461,2035362,1943099,1451491,1385286,310960,296985,33528,32043,103057,98720,6327,6014,129999,124051,1571506,1499804,382769,365523,58582,55953,150020,143521,15422,14694,1507400,1439447,1004943,959333,280233,267661,17208,16458,96660,92614,4184,3984,104172,99397,1101651,1051602,338850,323601,33514,32020,135614,129770,10785,10281,527962,503652,446548,425953,30727,29324,16320,15585,6397,6106,2143,2030,25827,24654,469855,448202,43919,41922,25068,23933,14406,13751,4637,4413
R,7,2016,1,3996885,2044134,1952751,1462679,1394379,311292,299988,33603,32132,105308,100750,6369,6001,124883,119501,1577700,1504397,378961,365202,58407,55812,151143,144310,15316,14466,1517911,1449381,1017119,968258,280654,270647,17241,16479,98946,94631,4210,3942,99741,95424,1109478,1056568,335576,323609,33411,31905,136990,130764,10728,10098,526223,503370,445560,426121,30638,29341,16362,15653,6362,6119,2159,2059,25142,24077,468222,447829,43385,41593,24996,23907,14153,13546,4588,4368
R,7,2016,2,3985390,2037508,1947882,1457179,1387818,310862,301981,33300,31873,107308,102513,6357,5950,122502,117747,1569934,1496122,376864,366298,57851,55315,152451,145357,15159,14250,1511662,1443314,1011623,960336,280087,272464,17104,16327,101003,96450,4213,3896,97632,93841,1101958,1047081,333494,324596,33092,31559,138459,131960,10643,9944,525846,504568,445556,427482,30775,29517,16196,15546,6305,6063,2144,2054,24870,23906,467976,449041,43370,41702,24759,23756,13992,13397,4516,4306
R,7,2016,3,3980998,2033585,1947413,1452711,1386936,307352,298849,32630,31366,112778,107684,6512,6097,121602,116481,1564557,1493972,372248,361732,56969,54740,158230,150659,15388,14447,1513565,1445862,1011143,961226,277383,269856,17072,16328,106522,101532,4381,4019,97064,92901,1100869,1047014,329872,320762,32944,31557,144389,137267,10894,10112,520020,501551,441568,425710,29969,28993,15558,15038,6256,6152,2131,2078,24538,23580,463688,446958,42376,40970,24025,23183,13841,13392,4494,4335
R,7,2016,4,3987037,2036984,1950053,1461276,1394764,307891,298542,33106,31829,108577,104328,6316,5962,119818,114628,1571464,1500133,372053,360277,57451,55130,152894,146446,14986,14239,1513149,1445345,1015728,965088,278297,270126,17094,16487,102410,98442,4218,3939,95402,91263,1103897,1049403,330091,320032,32953,31640,139264,133415,10569,9981,523835,504708,445548,429676,29594,28416,16012,15342,6167,5886,2098,2023,24416,23365,467567,450730,41962,40245,24498,23490,13630,13031,4417,4258
R,7,2016,5,4032487,2062262,1970225,1487555,1416613,309584,300427,32015,31023,106790,102039,6302,5840,120016,114283,1597975,1521674,373640,361829,56665,54659,151058,143817,15063,14078,1524431,1451877,1025424,972109,281360,272642,17364,16528,100777,96317,4242,3839,95264,90442,1113500,1055655,333011,321993,33373,31826,137441,130875,10629,9813,537831,518348,462131,444504,28224,27785,14651,14495,6013,5722,2060,2001,24752,23841,484475,466019,40629,39836,23292,22833,13617,12942,4434,4265
R,7,2016,6,4030476,2057179,1973297,1480785,1415057,308597,299780,32649,31879,108828,104319,6230,5930,120090,116332,1591403,1521994,372914,362704,57190,55952,152933,146503,14812,14156,1524761,1459602,1025386,975735,279790,271945,17147,16987,102785,98622,4226,3945,95427,92368,1113704,1061031,331724,322573,33043,32717,139358,133645,10520,9921,532418,513695,455399,439322,28807,27835,15502,14892,6043,5697,2004,1985,24663,23964,477699,460963,41190,40131,24147,23235,13575,12858,4292,4235
R,7,2016,7,4031658,2056732,1974926,1482182,1416675,311063,303339,32801,31866,107461,103800,6203,6122,117022,113124,1589603,1520669,373888,364780,56787,54658,150262,144695,14529,14179,1531052,1468155,1032588,983560,282234,275279,17358,16944,101374,98067,4180,4117,93318,90188,1118655,1066872,333239,325195,32977,31687,136984,132173,10311,10046,525680,506771,449594,433115,28829,28060,15443,14922,6087,5733,2023,2005,23704,22936,470948,453797,40649,39585,23810,22971,13278,12522,4218,4133
R,7,2016,8,4160932,2123117,2037815,1532811,1463499,320973,313438,34142,32990,111587,107963,6387,6177,117217,113748,1640307,1567816,383808,375472,58092,56209,154439,148847,14989,14171,1579321,1515643,1065980,1016098,291570,284990,18000,17585,105659,102181,4331,4112,93781,90677,1152348,1099590,342867,335457,33664,32592,141427,136199,10653,10006,543796,522172,466831,447401,29403,28448,16142,15405,5928,5782,2056,2065,23436,23071,487959,468226,40941,40015,24428,23617,13012,12648,4336,4165
