sex,sexLabel,ethnicGroup,ethnicGroupLabel,raceGroup,raceGroupLabel,vetGroup,vetGroupLabel,yearsInBusiness,yearsInBusinessLabel,count
001,All firms,001,All firms,00,All firms,001,All firms,001,All firms,5437782
001,All firms,001,All firms,00,All firms,001,All firms,311,Firms with less than 2 years in business,481981
001,All firms,001,All firms,00,All firms,001,All firms,318,Firms with 2 to 3 years in business,723679
001,All firms,001,All firms,00,All firms,001,All firms,319,Firms with 4 to 5 years in business,519712
001,All firms,001,All firms,00,All firms,001,All firms,321,Firms with 6 to 10 years in business,1146177
001,All firms,001,All firms,00,All firms,001,All firms,322,Firms with 11 to 15 years in business,2398315
001,All firms,001,All firms,00,All firms,001,All firms,323,Firms with 16 or more years in business,167917
001,All firms,001,All firms,00,All firms,002,Veteran-owned,001,All firms,405235
001,All firms,001,All firms,00,All firms,002,Veteran-owned,311,Firms with less than 2 years in business,27631
001,All firms,001,All firms,00,All firms,002,Veteran-owned,318,Firms with 2 to 3 years in business,40608
001,All firms,001,All firms,00,All firms,002,Veteran-owned,319,Firms with 4 to 5 years in business,30250
001,All firms,001,All firms,00,All firms,002,Veteran-owned,321,Firms with 6 to 10 years in business,70260
001,All firms,001,All firms,00,All firms,002,Veteran-owned,322,Firms with 11 to 15 years in business,221935
001,All firms,001,All firms,00,All firms,002,Veteran-owned,323,Firms with 16 or more years in business,14552
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,001,All firms,162546
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,311,Firms with less than 2 years in business,10724
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,318,Firms with 2 to 3 years in business,17362
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,319,Firms with 4 to 5 years in business,12174
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,321,Firms with 6 to 10 years in business,31475
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,322,Firms with 11 to 15 years in business,85603
001,All firms,001,All firms,00,All firms,003,Equally veteran-/nonveteran-owned,323,Firms with 16 or more years in business,5207
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,001,All firms,4598025
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,311,Firms with less than 2 years in business,431907
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,318,Firms with 2 to 3 years in business,647419
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,319,Firms with 4 to 5 years in business,459690
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,321,Firms with 6 to 10 years in business,1006058
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,322,Firms with 11 to 15 years in business,1938205
001,All firms,001,All firms,00,All firms,004,Nonveteran-owned,323,Firms with 16 or more years in business,114746
001,All firms,001,All firms,00,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",001,All firms,5165806
001,All firms,001,All firms,00,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",311,Firms with less than 2 years in business,470262
001,All firms,001,All firms,00,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",318,Firms with 2 to 3 years in business,705388
001,All firms,001,All firms,00,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",319,Firms with 4 to 5 years in business,502113
001,All firms,001,All firms,00,All firms,096,"All firms classifiable by gender, ethnicity, race, and veteran status",321,Firms with 6 to 10 years in business,1107794
