DATE,MEHOINUSA672N
1984-01-01,48664
1985-01-01,49574
1986-01-01,51329
1987-01-01,51973
1988-01-01,52372
1989-01-01,53306
1990-01-01,52623
1991-01-01,51086
1992-01-01,50667
1993-01-01,50421
1994-01-01,51006
1995-01-01,52604
1996-01-01,53345
1997-01-01,54443
1998-01-01,56445
1999-01-01,57843
2000-01-01,57724
2001-01-01,56466
2002-01-01,55807
2003-01-01,55759
2004-01-01,55565
2005-01-01,56160
2006-01-01,56598
2007-01-01,57357
2008-01-01,55313
2009-01-01,54925
2010-01-01,53507
2011-01-01,52690
2012-01-01,52605
2013-01-01,54462
2014-01-01,53657
