0,1,2,3,4,5,6,7,8,9,year,total
40419482,41715720,44901696,41419433,41411749,44054508,33905105,18995755,9587628,2336941,2014,318748017
40427758,41681751,45213477,42005558,40994700,44122655,35187055,19626018,9680443,2429449,2015,321368864
40441823,41736405,45472642,42697864,40728282,43927966,36467337,20236745,9781720,2504744,2016,323995528
40439896,41845041,45714627,43278596,40671847,43528508,37019040,21660767,9888063,2579406,2017,326625791
40474472,41936256,45861772,43916669,40678148,43101310,37765890,22812987,10062562,2646399,2018,329256465
40652288,41895012,45888147,44601862,40695622,42759023,38518606,23912742,10262371,2698313,2019,331883986
40841722,41782624,45781185,45227543,40772122,42516459,39334335,24994104,10491066,2762298,2020,334503458
41035224,41736816,45584945,45967683,40834889,42275466,40040742,26049286,10776208,2807709,2021,337108968
41259741,41763722,45348831,46601050,41193342,41878464,40597984,27040934,11169411,2844600,2022,339698079
41494018,41764996,45223360,47139611,41743614,41322411,41038698,27900124,11764460,2876010,2023,342267302
41707308,41755941,45172171,47693242,42305864,40729315,41359706,28929521,12261922,2899309,2024,344814299
41899442,41774408,45180013,48035749,42903905,40356618,41467287,30045438,12711572,2960480,2025,347334912
42069506,41798915,45274866,48325727,43605449,40124349,41325227,31145694,13135266,3020586,2026,349825585
42216374,41807806,45423203,48599132,44198122,40094808,40995852,31696636,14164607,3084935,2027,352281475
42340253,41853445,45553474,48780749,44848460,40127605,40639613,32395288,14982257,3177226,2028,354698370
42442307,42041837,45551476,48843380,45547007,40173393,40366553,33090650,15743583,3272644,2029,357072830
42525339,42242053,45477655,48775664,46191504,40283538,40195653,33842410,16483460,3384918,2030,359402194
42593504,42447255,45466585,48617070,46948551,40381988,40025522,34496995,17196297,3510973,2031,361684740
42651392,42683235,45526945,48418731,47600485,40764701,39703373,35018925,17874304,3677436,2032,363919527
42702680,42928785,45561003,48329149,48159814,41330241,39229933,35442330,18496604,3925755,2033,366106294
42750482,43153053,45583654,48313227,48731530,41905167,38722503,35766455,19206703,4112786,2034,368245560
42797543,43355933,45632827,48355272,49094881,42517311,38422853,35909437,19965527,4286553,2035,370338137
42846320,43536380,45687326,48482931,49405176,43227320,38246659,35825852,20690078,4441637,2036,372389679
42899297,43693490,45725852,48662774,49698436,43832076,38260325,35587933,21164667,4876509,2037,374401359
42958737,43827383,45800359,48823890,49900957,44493576,38333890,35328980,21704271,5203060,2038,376375103
43026151,43939185,46016035,48852829,49985307,45203808,38422664,35150536,22225929,5490966,2039,378313410
43102374,44031668,46243073,48809398,49941754,45866987,38583364,35082298,22791324,5766962,2040,380219202
43188036,44108966,46474599,48826987,49808071,46637218,38731773,35011192,23279434,6030126,2041,382096402
43283178,44175677,46736065,48914429,49634689,47303879,39144354,34796000,23668689,6291688,2042,383948648
43387339,44235506,47006455,48974857,49567897,47879804,39724483,34444966,23995106,6563052,2043,385779465
43499759,44291602,47254708,49023062,49574457,48464965,40310115,34067475,24261396,6845693,2044,387593232
43619598,44346678,47480812,49096935,49637774,48847357,40935681,33876365,24408247,7144731,2045,389394178
43746168,44403149,47683830,49175166,49785133,49176102,41648680,33775128,24375981,7417215,2046,391186552
43878826,44463469,47862644,49236899,49983449,49487472,42262597,33840705,24251340,7705218,2047,392972619
44016808,44529972,48017370,49333701,50162553,49710643,42930970,33960912,24120259,7972682,2048,394755870
44159038,44604039,48149251,49570070,50209731,49818728,43648017,34103136,24062857,8215205,2049,396540072
44304472,44686664,48260916,49817137,50184648,49804144,44329209,34335573,24126339,8479247,2050,398328349
44451979,44778472,48356682,50068063,50218806,49701149,45108119,34553612,24182598,8704302,2051,400123782
44600187,44879515,48441074,50348096,50320739,49558544,45786629,34993876,24113473,8886572,2052,401928705
44747726,44989338,48517740,50636413,50395001,49519138,46376804,35569228,23940335,9052763,2053,403744486
44893214,45107058,48589888,50901758,50456527,49551828,46971621,36140219,23754397,9205645,2054,405572155
45035402,45231891,48660193,51144236,50542993,49639128,47374185,36756318,23710769,9317014,2055,407412129
45173268,45363215,48731032,51363049,50633196,49807708,47723081,37437528,23696227,9336650,2056,409264954
45306152,45500285,48804948,51556867,50706854,50025688,48054252,38032341,23805648,9337224,2057,411130259
45433607,45642297,48884248,51725947,50814916,50224128,48302166,38677277,23958934,9344039,2058,413007559
45555526,45788295,48970364,51871483,51060687,50291397,48441604,39371341,24148583,9396935,2059,414896215
45672065,45937189,49064146,51996185,51316701,50287535,48468681,40054589,24457390,9540129,2060,416794610
