0,1,2,3,4,5,6,7,8,9,year,total
6090115,6297343,6867985,5663755,5476617,5434045,3561110,1724276,748113,175206,2014,42038565
6087733,6246038,6963608,5752955,5423285,5489596,3747373,1791043,770700,184127,2015,42456458
6081915,6236113,7024374,5861164,5385731,5508200,3941864,1852254,793887,192371,2016,42877873
6066558,6242359,7072447,5961953,5391589,5488534,4096862,1967122,815002,200068,2017,43302494
6055963,6248272,7094613,6084817,5404718,5468647,4239134,2086459,840156,207132,2018,43729911
6069960,6237948,7068593,6233751,5443252,5433438,4379439,2213623,865743,213803,2019,44159550
6092928,6207353,7008439,6392799,5484773,5417024,4519370,2348518,897298,221973,2020,44590475
6114391,6199264,6916753,6591468,5504346,5415795,4635926,2485662,929986,227795,2021,45021386
6135741,6214135,6811085,6778984,5554462,5396320,4746242,2614299,965540,234341,2022,45451149
6162632,6234085,6710466,6952244,5625397,5355892,4843558,2741494,1010911,242066,2023,45878745
6207139,6233162,6633049,7113276,5707281,5295566,4924009,2887366,1053547,249330,2024,46303725
6245504,6233798,6591614,7216116,5800347,5252685,4983810,3043564,1099139,258907,2025,46725484
6277651,6231149,6590926,7284544,5911881,5223726,5009925,3204870,1140399,268471,2026,47143542
6303397,6218914,6606475,7340707,6016220,5236048,5001674,3338699,1218378,276853,2027,47557365
6322674,6211529,6621732,7371621,6142391,5255327,4993300,3461906,1299113,286767,2028,47966360
6335714,6228563,6620864,7355266,6294274,5299043,4971581,3584003,1384188,296604,2029,48370100
6343225,6254556,6599930,7305328,6456937,5347089,4968769,3707453,1475258,309724,2030,48768269
6346378,6279169,6601014,7224189,6658127,5373953,4979096,3810820,1565938,322152,2031,49160836
6346451,6303751,6624843,7129266,6848354,5429471,4972076,3907735,1650001,335905,2032,49547853
6344533,6333861,6653728,7039387,7024644,5504247,4945878,3994528,1734293,354346,2033,49929445
6341548,6381576,6661878,6972428,7188700,5588972,4901254,4068871,1829956,370776,2034,50305959
6338417,6423177,6671692,6941058,7295514,5685059,4873305,4127667,1932687,389201,2035,50677777
6335989,6458575,6678365,6949901,7368345,5798352,4856752,4157808,2036291,405223,2036,51045601
6335110,6487591,6675568,6974896,7429188,5905099,4877732,4159791,2127892,437019,2037,51409886
6336484,6510179,6677698,6999668,7465353,6033207,4905099,4161873,2211865,469592,2038,51771018
6340650,6526562,6704081,7008564,7455258,6186655,4955126,4153898,2295583,503012,2039,52129389
6347988,6537451,6739403,6997612,7412372,6351988,5011389,4165197,2382418,539548,2040,52485366
6358705,6543997,6773431,7008422,7338933,6553721,5047488,4186455,2453866,574375,2041,52839393
6372818,6547474,6807490,7041683,7251934,6744517,5109222,4192000,2519028,605734,2042,53191900
6390166,6548963,6847076,7079952,7169863,6921497,5187759,4181273,2578193,638508,2043,53543250
6410469,6549416,6904162,7097647,7110285,7086006,5274627,4155015,2631286,674965,2044,53893878
6433353,6549730,6955216,7117039,7085661,7194916,5373008,4144355,2676206,714775,2045,54244259
6458435,6550766,7000116,7133379,7100424,7270453,5486529,4141177,2700580,753071,2046,54594930
6485316,6553351,7038703,7140319,7131219,7334481,5594486,4169353,2706612,792399,2047,54946239
6513624,6558197,7070919,7152210,7161797,7374919,5722797,4203090,2713274,827643,2048,55298470
6543061,6565824,7096999,7188125,7176671,7371133,5875708,4256588,2714987,862893,2049,55651989
6573321,6576629,7117631,7232926,7171979,7336366,6041880,4319704,2735708,900964,2050,56007108
6604147,6590819,7133965,7276471,7188645,7272174,6240942,4364522,2761778,930722,2051,56364185
6635292,6608408,7147265,7320094,7227286,7194761,6429210,4429813,2775208,956208,2052,56723545
6666500,6629242,7158612,7369207,7270725,7122052,6603872,4507726,2777215,980249,2053,57085400
6697510,6653040,7168947,7435704,7293747,7071055,6765859,4590909,2768897,1004181,2054,57449849
6728108,6679422,7179167,7496210,7318468,7053753,6875460,4685760,2773884,1026687,2055,57816919
6758110,6707992,7190112,7550624,7340216,7074372,6952951,4792106,2780748,1039514,2056,58186745
6787389,6738354,7202610,7598760,7352671,7110775,7019766,4894654,2808846,1045464,2057,58559289
6815902,6770141,7217381,7640577,7370068,7146964,7064959,5015585,2841196,1051759,2058,58934532
6843670,6803066,7234920,7676289,7411104,7167645,7069560,5160017,2888396,1057742,2059,59312409
6870770,6836811,7255630,7706595,7460901,7169341,7046543,5320135,2949477,1076654,2060,59692857
