1,2,3,4,5,6,year,total
246939631,42038565,3957239,17083303,733955,7995324,2014,318748017
248369057,42456458,4004575,17537852,745661,8255261,2015,321368864
249790886,42877873,4052047,17996486,757521,8520715,2016,323995528
251203184,43302494,4099632,18459198,769516,8791767,2017,326625791
252603529,43729911,4147264,18925722,781594,9068445,2018,329256465
253989406,44159550,4194839,19395641,793723,9350827,2019,331883986
255357129,44590475,4242239,19868809,805865,9638941,2020,334503458
256702394,45021386,4289396,20345086,818004,9932702,2021,337108968
258023937,45451149,4336253,20824433,830121,10232186,2022,339698079
259319103,45878745,4382756,21307060,842182,10537456,2023,342267302
260587307,46303725,4428899,21791797,854168,10848403,2024,344814299
261825450,46725484,4474616,22278281,866054,11165027,2025,347334912
263030849,47143542,4519844,22766209,877826,11487315,2026,349825585
264199760,47557365,4564507,23255208,889465,11815170,2027,352281475
265329064,47966360,4608535,23744993,900962,12148456,2028,354698370
266416223,48370100,4651878,24235269,912308,12487052,2029,357072830
267459258,48768269,4694493,24725797,923498,12830879,2030,359402194
268456725,49160836,4736347,25216352,934536,13179944,2031,361684740
269407745,49547853,4777401,25706746,945413,13534369,2032,363919527
270312009,49929445,4817591,26196755,956145,13894349,2033,366106294
271169690,50305959,4856874,26686208,966736,14260093,2034,368245560
271981235,50677777,4895235,27174960,977194,14631736,2035,370338137
272751453,51045601,4932768,27662872,987534,15009451,2036,372389679
273481232,51409886,4969468,28149750,997756,15393267,2037,374401359
274172176,51771018,5005324,28635478,1007866,15783241,2038,376375103
274826437,52129389,5040322,29119937,1017859,16179466,2039,378313410
275446632,52485366,5074443,29603006,1027726,16582029,2040,380219202
276036164,52839393,5107686,30084674,1037462,16991023,2041,382096402
276598163,53191900,5140063,30564937,1047058,17406527,2042,383948648
277135710,53543250,5171571,31043795,1056502,17828637,2043,385779465
277652637,53893878,5202226,31521287,1065785,18257419,2044,387593232
278152601,54244259,5232060,31997445,1074905,18692908,2045,389394178
278639212,54594930,5261116,32472313,1083855,19135126,2046,391186552
279114390,54946239,5289433,32945872,1092634,19584051,2047,392972619
279581278,55298470,5317047,33418151,1101243,20039681,2048,394755870
280043220,55651989,5344003,33889159,1109680,20502021,2049,396540072
280503047,56007108,5370346,34358857,1117959,20971032,2050,398328349
280963454,56364185,5396130,34827232,1126089,21446692,2051,400123782
281426467,56723545,5421403,35294243,1134078,21928969,2052,401928705
281893377,57085400,5446194,35759756,1141937,22417822,2053,403744486
282365233,57449849,5470518,36223652,1149668,22913235,2054,405572155
282842590,57816919,5494391,36685783,1157273,23415173,2055,407412129
283325986,58186745,5517829,37146025,1164757,23923612,2056,409264954
283815259,58559289,5540835,37604227,1172122,24438527,2057,411130259
284310112,58934532,5563400,38060230,1179368,24959917,2058,413007559
284810080,59312409,5585516,38513911,1186497,25487802,2059,414896215
285313843,59692857,5607166,38965077,1193501,26022166,2060,416794610
