from,to,value
1,2,104
1,8,47
1,9,55
1,11,8
1,15,6
1,17,8
1,22,12
1,31,10
1,71,7
1,568,7
2,3,7
2,8,83
2,9,64
2,11,13
2,15,11
2,17,17
2,18,6
2,22,11
2,31,17
2,33,9
2,71,11
2,139,9
2,165,16
2,170,13
2,568,18
2,570,6
2,5734,7
2,5829,6
2,5830,11
2,5839,8
3,8,14
3,9,16
3,101,9
3,1078,15
8,9,69
8,11,6
8,15,7
8,17,9
8,25,23
8,31,10
8,33,6
8,40,9
8,101,20
8,1078,6
8,5739,6
9,15,6
9,17,9
9,25,17
9,31,15
9,39,6
9,52,7
9,75,7
9,101,22
9,119,8
9,1078,8
9,5848,8
11,40,9
14,15,9
14,17,8
17,165,6
17,170,6
22,568,11
25,101,11
38,101,7
45,5669,6
71,91,8
101,119,6
165,170,12
568,570,7
5829,5830,6
