from,to,value
1,2,3726
1,3,141
1,8,2179
1,9,2203
1,10,116
1,11,291
1,14,83
1,15,173
1,17,243
1,18,71
1,22,135
1,25,157
1,31,263
1,33,102
1,38,27
1,39,31
1,40,56
1,52,53
1,71,234
1,75,141
1,91,59
1,101,98
1,105,73
1,119,68
1,121,35
1,139,148
1,140,123
1,144,49
1,145,40
1,146,20
1,153,42
1,165,159
1,170,110
1,192,65
1,208,108
1,211,146
1,240,73
1,273,19
1,308,38
1,309,40
1,311,23
1,321,37
1,332,149
1,404,49
1,442,42
1,464,9
1,518,29
1,568,24
1,618,20
1,699,80
1,801,44
1,817,30
1,944,43
1,1010,36
1,1078,26
1,1413,34
1,1508,17
2,3,241
2,8,2815
2,9,2586
2,10,109
2,11,512
2,14,216
2,15,460
2,17,647
2,18,228
2,22,125
2,25,206
2,31,387
2,33,153
2,38,35
2,39,47
2,40,78
2,52,80
2,71,344
2,75,191
2,91,86
2,101,119
2,105,75
2,119,76
2,121,37
2,139,218
2,140,139
2,144,51
2,145,39
2,146,26
2,153,50
2,165,495
2,170,404
2,192,57
2,208,234
2,211,204
2,240,110
2,273,33
2,308,47
2,309,31
2,311,44
2,321,64
2,332,189
2,404,71
2,442,78
2,464,10
2,518,53
2,568,54
2,618,26
2,699,121
2,801,73
2,817,57
2,944,53
2,1010,43
2,1078,36
2,1413,64
2,1508,33
3,8,384
3,9,266
3,10,16
3,11,47
3,14,20
3,15,31
3,17,60
3,18,28
3,22,8
3,25,128
3,31,20
3,33,11
3,38,56
3,39,80
3,40,117
3,52,33
3,71,61
3,75,47
3,91,8
3,101,133
3,105,4
3,119,69
3,121,5
3,139,23
3,140,21
3,144,34
3,145,25
3,146,17
3,153,2
3,165,32
3,170,23
3,192,70
3,208,33
3,211,13
3,240,33
3,273,6
3,308,5
3,309,6
3,311,3
3,321,17
3,332,22
3,404,110
3,442,17
3,464,25
3,518,7
3,568,4
3,618,6
3,699,21
3,801,21
3,817,4
3,944,13
3,1010,3
3,1078,136
3,1413,6
3,1508,4
5,8,37
5,9,28
5,10,2
5,11,88
5,14,1
5,15,2
5,17,9
5,18,3
5,22,4
5,25,9
5,31,5
5,33,2
5,38,1
5,39,2
5,40,5
5,52,4
5,71,3
5,75,3
5,101,8
5,105,1
5,119,5
5,121,58
5,139,5
5,140,8
5,144,2
5,145,1
5,146,3
5,153,1
5,165,5
5,170,2
5,208,4
5,211,4
5,240,2
5,273,1
5,308,20
5,309,1
5,311,1
5,321,1
5,332,4
5,442,1
5,464,1
5,518,2
5,618,1
5,699,3
5,801,1
