Source	Target	Weight	Type
45	549	1	Undirected
48	66	1	Undirected
185	204	1	Undirected
215	375	1	Undirected
47	202	1	Undirected
67	278	1	Undirected
125	214	4	Undirected
124	192	1	Undirected
11	415	1	Undirected
133	204	1	Undirected
79	154	1	Undirected
19	521	1	Undirected
192	226	1	Undirected
65	192	1	Undirected
73	120	7	Undirected
88	498	1	Undirected
125	290	1	Undirected
201	213	1	Undirected
262	277	1	Undirected
140	350	2	Undirected
284	499	1	Undirected
97	107	1	Undirected
100	434	1	Undirected
460	550	1	Undirected
81	200	1	Undirected
32	132	1	Undirected
4	47	1	Undirected
38	459	1	Undirected
86	135	1	Undirected
246	331	1	Undirected
240	362	1	Undirected
513	523	1	Undirected
106	192	1	Undirected
20	88	3	Undirected
65	492	1	Undirected
79	82	4	Undirected
237	533	1	Undirected
23	234	3	Undirected
92	275	1	Undirected
10	37	1	Undirected
65	338	1	Undirected
289	457	1	Undirected
479	597	1	Undirected
233	241	1	Undirected
34	289	1	Undirected
28	129	6	Undirected
129	439	1	Undirected
336	337	1	Undirected
11	171	2	Undirected
435	441	1	Undirected
269	444	1	Undirected
36	553	1	Undirected
5	288	1	Undirected
38	552	1	Undirected
5	114	4	Undirected
104	110	1	Undirected
397	412	1	Undirected
1	256	1	Undirected
162	174	2	Undirected
117	569	1	Undirected
442	529	1	Undirected
81	125	7	Undirected
70	169	1	Undirected
233	249	1	Undirected
14	433	1	Undirected
129	484	1	Undirected
77	261	1	Undirected
445	477	1	Undirected
140	150	2	Undirected
59	371	1	Undirected
438	587	1	Undirected
23	311	1	Undirected
90	549	1	Undirected
70	449	1	Undirected
115	443	1	Undirected
1	14	5	Undirected
70	599	1	Undirected
179	212	1	Undirected
176	182	1	Undirected
186	214	1	Undirected
288	302	1	Undirected
240	513	1	Undirected
42	336	1	Undirected
14	514	2	Undirected
93	286	1	Undirected
594	599	1	Undirected
117	425	1	Undirected
81	421	1	Undirected
81	197	1	Undirected
18	230	3	Undirected
127	542	1	Undirected
70	304	1	Undirected
34	386	1	Undirected
20	276	1	Undirected
443	445	1	Undirected
143	154	1	Undirected
442	520	1	Undirected
181	514	1	Undirected
78	97	1	Undirected
47	586	1	Undirected
65	261	1	Undirected
67	133	3	Undirected
115	484	1	Undirected
56	76	2	Undirected
160	457	1	Undirected
170	461	1	Undirected
38	366	1	Undirected
67	206	1	Undirected
142	151	2	Undirected
63	122	5	Undirected
79	577	1	Undirected
12	306	1	Undirected
162	420	1	Undirected
30	230	2	Undirected
127	248	1	Undirected
2	30	1	Undirected
36	536	1	Undirected
122	132	1	Undirected
15	88	2	Undirected
1	590	1	Undirected
210	226	1	Undirected
12	564	1	Undirected
45	79	17	Undirected
