id,name,normalized_name,created_at,updated_at
1,Street,street,2016-09-29 15:24:20.189358,2016-09-29 15:24:20.189358
2,Car,car,2016-09-29 15:24:20.213079,2016-09-29 15:24:20.213079
3,Springfield Elementary School,springfield elementary school,2016-09-29 15:24:20.273248,2016-09-29 15:24:20.273248
4,Auditorium,auditorium,2016-09-29 15:24:20.281686,2016-09-29 15:24:20.281686
5,Simpson Home,simpson home,2016-09-29 15:24:20.406425,2016-09-29 15:24:20.406425
6,KITCHEN,kitchen,2016-09-29 15:24:20.71728,2016-09-29 15:24:20.71728
7,SHOPPING MALL PARKING LOT,shopping mall parking lot,2016-09-29 15:24:20.770967,2016-09-29 15:24:20.770967
8,Springfield Mall,springfield mall,2016-09-29 15:24:20.778667,2016-09-29 15:24:20.778667
9,The Happy Sailor Tattoo Parlor,the happy sailor tattoo parlor,2016-09-29 15:24:20.793115,2016-09-29 15:24:20.793115
10,Springfield Nuclear Power Plant,springfield nuclear power plant,2016-09-29 15:24:20.872671,2016-09-29 15:24:20.872671
11,PLANT,plant,2016-09-29 15:24:20.947134,2016-09-29 15:24:20.947134
12,DERMATOLOGY CLINIC,dermatology clinic,2016-09-29 15:24:21.031545,2016-09-29 15:24:21.031545
13,Laboratory,laboratory,2016-09-29 15:24:21.082018,2016-09-29 15:24:21.082018
14,Circus of Values,circus of values,2016-09-29 15:24:21.244219,2016-09-29 15:24:21.244219
15,Moe's Tavern,moe tavern,2016-09-29 15:24:21.342276,2016-09-29 15:24:21.342276
16,Santa School,santa school,2016-09-29 15:24:21.450179,2016-09-29 15:24:21.450179
17,Santa's Workshop,santa workshop,2016-09-29 15:24:21.920771,2016-09-29 15:24:21.920771
18,WORKSHOP,workshop,2016-09-29 15:24:21.955152,2016-09-29 15:24:21.955152
19,PERSONNEL OFFICE,personnel office,2016-09-29 15:24:21.97589,2016-09-29 15:24:21.97589
20,Springfield Downs Dog Track,springfield downs dog track,2016-09-29 15:24:22.217344,2016-09-29 15:24:22.217344
21,SPRINGFIELD DOWNS,springfield downs,2016-09-29 15:24:22.238675,2016-09-29 15:24:22.238675
22,PADDOCK,paddock,2016-09-29 15:24:22.262564,2016-09-29 15:24:22.262564
23,SPRINGFIELD DOWN,springfield down,2016-09-29 15:24:22.331699,2016-09-29 15:24:22.331699
24,SPRINGFIELD DOWNS PARKING LOT,springfield downs parking lot,2016-09-29 15:24:22.655129,2016-09-29 15:24:22.655129
25,Simpson Living Room,simpson living room,2016-09-29 15:24:23.094474,2016-09-29 15:24:23.094474
26,Springfield Elementary School Playground,springfield elementary school playground,2016-09-29 15:24:23.25414,2016-09-29 15:24:23.25414
27,CLASSROOM,classroom,2016-09-29 15:24:23.36261,2016-09-29 15:24:23.36261
28,Skinner's Office,skinner office,2016-09-29 15:24:23.555046,2016-09-29 15:24:23.555046
29,Homer's Car,homer car,2016-09-29 15:24:23.947149,2016-09-29 15:24:23.947149
30,NEW SCHOOL,new school,2016-09-29 15:24:23.969808,2016-09-29 15:24:23.969808
31,Opera House,opera house,2016-09-29 15:24:24.504273,2016-09-29 15:24:24.504273
32,OLD SCHOOL,old school,2016-09-29 15:24:24.68743,2016-09-29 15:24:24.68743
33,NEW CLASSROOM,new classroom,2016-09-29 15:24:24.830514,2016-09-29 15:24:24.830514
34,SCHOOL BUILDING,school building,2016-09-29 15:24:24.866289,2016-09-29 15:24:24.866289
35,Simpson Back Porch,simpson back porch,2016-09-29 15:24:25.021253,2016-09-29 15:24:25.021253
36,Bus,bus,2016-09-29 15:24:25.352379,2016-09-29 15:24:25.352379
37,Road,road,2016-09-29 15:24:25.440887,2016-09-29 15:24:25.440887
38,Conference Room,conference room,2016-09-29 15:24:25.630188,2016-09-29 15:24:25.630188
39,COFFEE ROOM,coffee room,2016-09-29 15:24:25.829316,2016-09-29 15:24:25.829316
40,Bar,bar,2016-09-29 15:24:25.985497,2016-09-29 15:24:25.985497
41,Berger's Burgers,berger burgers,2016-09-29 15:24:26.128095,2016-09-29 15:24:26.128095
42,REFRIGERATOR,refrigerator,2016-09-29 15:24:26.231596,2016-09-29 15:24:26.231596
43,Bart's Bedroom,bart bedroom,2016-09-29 15:24:26.255664,2016-09-29 15:24:26.255664
44,Simpson Backyard,simpson backyard,2016-09-29 15:24:26.286162,2016-09-29 15:24:26.286162
45,Simpson Neighborhood,simpson neighborhood,2016-09-29 15:24:26.308749,2016-09-29 15:24:26.308749
