Id	Label	Size
1	Doug	5
2	Groucho Marx	1
3	Gabbo	2
4	Joan Rivers	1
5	Cookie Kwan	7
6	Reporter	1
7	David Hyde Pierce	1
8	Mr. T	1
9	Adele	1
10	Martin Luther King	1
11	Itchy	4
12	Milhouse Van Houten	19
13	Clown counselor	1
14	Homer Simpson	22
15	Kumiko Nakamura	5
16	Salvador Dalí	1
17	Albert Einstein	1
18	Jasper Beardly	11
19	Seymour Skinner	19
20	Martin Prince	9
21	Harpo Marx	1
22	Wendell Borton	8
23	Richard	11
24	Carrot Top	1
25	Cosine Tangent	2
26	Rafael	8
27	Golda Meir	1
28	Sideshow Mel	14
29	Clive Meriwether	1
30	Otto Mann	12
31	Joe Lieberman	1
32	Carl Carlson	18
33	Scratchy	7
34	Santa's Little Helper	9
35	Eddie Cantor	1
36	Helen Lovejoy	14
37	Sideshow Bob	6
38	Elizabeth Hoover	10
39	Chico Marx	1
40	Karl Marx	1
41	Rachel Krustofsky	1
42	Arthur Crandall	2
43	Liberace	1
44	Rabbi Rudenstein	1
45	Krusty the Clown	17
46	Kent Brockman	11
47	Bart Simpson	22
48	Adrian	5
49	Lenny Leonard	19
50	Jeff Ross	1
51	Sarah Silverman	1
52	Nina Skalka	9
53	Helga	1
54	Dom DeLuise	1
55	Selma Bouvier	7
56	Hyman Krustofsky	2
57	Jesus Christ	7
58	Timothy Lovejoy, Jr.	3
59	Maggie Simpson	22
60	Chuck	4
61	Irving Berlin	1
62	EMT	1
63	Patty Bouvier	6
64	Lewis Clark	12
65	Marge Simpson	22
66	Larry	4
67	Ralph Wiggum	14
68	Barney Gumble	14
69	Moses	1
70	Clancy Wiggum	18
71	Rodney Dangerfield	1
72	Mr. Teeny	4
73	Julius Hibbert	16
74	Old Jewish man	10
75	Comic Book Guy	10
76	Arnie Pye	6
77	Moe Szyslak	16
78	Lindsey Naegle	6
79	Lisa Simpson	22
80	Playwright	1
81	Jimbo Jones	10
82	Alice Glick	4
83	Trans-Clown-O-Morph	1
84	Nelson Muntz	10
85	Randy Quaid	1
86	Sarah Wiggum	9
87	Scott Christian	2
88	Dewey Largo	8
89	Sherri Mackleberry	10
