character,word,count,characterName
1,ooo,49,marge simpson
1,homer,1358,marge simpson
1,excuse,50,marge simpson
1,lisas,42,marge simpson
1,class,25,marge simpson
1,bart,585,marge simpson
1,sweet,67,marge simpson
1,dear,87,marge simpson
1,friends,71,marge simpson
1,simpson,99,marge simpson
1,family,136,marge simpson
1,year,39,marge simpson
1,cat,27,marge simpson
1,run,31,marge simpson
1,bought,27,marge simpson
1,guess,149,marge simpson
1,life,106,marge simpson
1,grampa,73,marge simpson
1,maggie,157,marge simpson
1,lisa,410,marge simpson
1,love,216,marge simpson
1,happy,89,marge simpson
1,children,82,marge simpson
1,years,82,marge simpson
1,telling,24,marge simpson
1,christmas,64,marge simpson
1,kids,307,marge simpson
1,money,101,marge simpson
1,turn,64,marge simpson
1,mother,82,marge simpson
1,makes,39,marge simpson
1,god,126,marge simpson
1,homers,32,marge simpson
1,worry,59,marge simpson
1,feeling,22,marge simpson
1,told,64,marge simpson
1,time,254,marge simpson
1,hours,21,marge simpson
1,late,37,marge simpson
1,sisters,25,marge simpson
1,call,77,marge simpson
1,police,22,marge simpson
1,good,314,marge simpson
1,hmmm,46,marge simpson
1,thing,152,marge simpson
1,boy,90,marge simpson
1,hard,54,marge simpson
1,big,83,marge simpson
1,day,158,marge simpson
1,eat,65,marge simpson
1,tonight,61,marge simpson
1,feel,107,marge simpson
1,bad,98,marge simpson
1,word,23,marge simpson
1,guy,50,marge simpson
1,stop,223,marge simpson
1,forget,34,marge simpson
1,happened,64,marge simpson
1,find,89,marge simpson
1,job,53,marge simpson
1,back,216,marge simpson
1,thinking,42,marge simpson
1,married,73,marge simpson
1,promised,22,marge simpson
1,wanted,51,marge simpson
1,fathers,37,marge simpson
1,proud,47,marge simpson
1,people,152,marge simpson
1,burns,64,marge simpson
1,girl,50,marge simpson
1,leave,35,marge simpson
1,true,36,marge simpson
1,sit,24,marge simpson
1,drink,23,marge simpson
1,made,96,marge simpson
1,hey,64,marge simpson
1,homie,537,marge simpson
1,ohhh,24,marge simpson
1,car,69,marge simpson
1,long,68,marge simpson
1,supposed,23,marge simpson
1,listen,53,marge simpson
1,man,141,marge simpson
1,enjoy,34,marge simpson
1,talking,60,marge simpson
1,house,175,marge simpson
1,coming,79,marge simpson
1,kind,73,marge simpson
1,dollars,56,marge simpson
1,driving,21,marge simpson
1,doctor,41,marge simpson
1,sister,28,marge simpson
1,thought,120,marge simpson
1,making,52,marge simpson
1,real,57,marge simpson
1,wonderful,57,marge simpson
1,surprise,22,marge simpson
1,special,61,marge simpson
1,hope,74,marge simpson
1,friend,33,marge simpson
1,side,30,marge simpson
1,huh,46,marge simpson
1,world,51,marge simpson
1,tomorrow,49,marge simpson
1,talk,94,marge simpson
1,boys,42,marge simpson
1,head,38,marge simpson
1,school,117,marge simpson
1,honey,190,marge simpson
1,nice,122,marge simpson
1,hot,21,marge simpson
1,wake,29,marge simpson
1,barts,72,marge simpson
1,young,47,marge simpson
1,woman,48,marge simpson
1,night,119,marge simpson
1,worried,35,marge simpson
1,important,35,marge simpson
1,today,67,marge simpson
1,matter,23,marge simpson
1,inside,40,marge simpson
1,invited,21,marge simpson
1,wrong,83,marge simpson
1,ride,28,marge simpson
1,game,40,marge simpson
1,idea,73,marge simpson
1,fun,96,marge simpson
1,afford,30,marge simpson
1,father,167,marge simpson
1,shes,80,marge simpson
1,taking,53,marge simpson
1,fine,80,marge simpson
1,fire,27,marge simpson
1,goodnight,22,marge simpson
1,husband,105,marge simpson
1,understand,28,marge simpson
1,favorite,21,marge simpson
1,church,42,marge simpson
1,morning,40,marge simpson
1,goodness,24,marge simpson
1,promise,24,marge simpson
1,pay,34,marge simpson
1,music,21,marge simpson
1,till,25,marge simpson
1,yeah,80,marge simpson
1,anymore,42,marge simpson
1,learn,21,marge simpson
1,mmm,21,marge simpson
1,eating,31,marge simpson
1,lot,89,marge simpson
1,breakfast,21,marge simpson
1,town,58,marge simpson
1,patty,25,marge simpson
1,place,96,marge simpson
1,dinner,89,marge simpson
1,end,43,marge simpson
1,throw,24,marge simpson
1,mind,43,marge simpson
1,marge,79,marge simpson
1,trouble,32,marge simpson
1,hit,30,marge simpson
1,rest,30,marge simpson
1,funny,26,marge simpson
1,start,50,marge simpson
1,care,68,marge simpson
1,things,117,marge simpson
1,dad,29,marge simpson
1,goodbye,23,marge simpson
1,birthday,22,marge simpson
1,party,53,marge simpson
1,put,120,marge simpson
1,door,22,marge simpson
1,food,38,marge simpson
1,room,63,marge simpson
1,sleep,43,marge simpson
1,left,54,marge simpson
1,women,32,marge simpson
1,son,62,marge simpson
1,meet,25,marge simpson
1,pick,32,marge simpson
1,times,33,marge simpson
1,sounds,45,marge simpson
1,spend,36,marge simpson
1,living,25,marge simpson
1,miss,49,marge simpson
1,remember,101,marge simpson
1,dress,30,marge simpson
1,parents,23,marge simpson
1,baby,101,marge simpson
1,home,182,marge simpson
1,brought,31,marge simpson
1,work,97,marge simpson
1,selma,30,marge simpson
1,show,92,marge simpson
1,trip,23,marge simpson
1,problem,30,marge simpson
1,hair,50,marge simpson
1,wait,115,marge simpson
1,hear,56,marge simpson
1,phone,38,marge simpson
1,bed,49,marge simpson
1,stay,71,marge simpson
1,watch,54,marge simpson
1,gotta,46,marge simpson
1,wearing,21,marge simpson
1,called,37,marge simpson
1,check,24,marge simpson
1,perfect,50,marge simpson
1,oooh,30,marge simpson
1,bring,31,marge simpson
1,men,33,marge simpson
1,girls,21,marge simpson
1,beautiful,48,marge simpson
1,kitchen,22,marge simpson
1,live,43,marge simpson
1,save,44,marge simpson
1,horrible,22,marge simpson
1,lady,27,marge simpson
1,make,204,marge simpson
1,hurt,34,marge simpson
1,finally,40,marge simpson
1,chance,25,marge simpson
1,great,93,marge simpson
1,fair,26,marge simpson
1,gonna,151,marge simpson
1,give,124,marge simpson
1,poor,42,marge simpson
1,means,34,marge simpson
1,street,26,marge simpson
1,terrible,31,marge simpson
1,heart,35,marge simpson
1,minute,35,marge simpson
1,flanders,25,marge simpson
1,win,25,marge simpson
1,open,27,marge simpson
1,knew,39,marge simpson
1,mom,43,marge simpson
1,ready,39,marge simpson
1,read,35,marge simpson
1,drive,26,marge simpson
1,wow,43,marge simpson
1,pretty,45,marge simpson
1,child,21,marge simpson
1,watching,35,marge simpson
1,sound,25,marge simpson
1,started,22,marge simpson
1,week,42,marge simpson
1,krusty,23,marge simpson
1,heard,34,marge simpson
1,springfield,67,marge simpson
1,pie,30,marge simpson
1,cute,27,marge simpson
1,change,29,marge simpson
1,hate,29,marge simpson
1,person,27,marge simpson
1,point,32,marge simpson
1,days,30,marge simpson
1,lord,36,marge simpson
1,eyes,25,marge simpson
1,alive,24,marge simpson
1,story,48,marge simpson
1,met,22,marge simpson
1,high,22,marge simpson
1,found,41,marge simpson
1,free,28,marge simpson
1,paper,25,marge simpson
1,artie,32,marge simpson
1,hmm,55,marge simpson
1,part,46,marge simpson
1,business,27,marge simpson
1,wear,24,marge simpson
1,stupid,22,marge simpson
1,date,22,marge simpson
1,ooh,110,marge simpson
1,movie,41,marge simpson
1,afraid,36,marge simpson
1,vacation,21,marge simpson
1,hold,25,marge simpson
1,hundred,48,marge simpson
1,dog,52,marge simpson
1,set,28,marge simpson
1,suit,22,marge simpson
1,apu,29,marge simpson
1,wedding,42,marge simpson
1,marriage,41,marge simpson
