I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
1905		1850	9	12					 7.5		 7.5					10	CHINA		CHINA:  SICHUAN:  XICHANG	  27.800	  102.300	30	   20650	4						4					   20650	4						4				
1903		1850							 5.0		 5.0					6	CHINA		CHINA:  GANSU PROVINCE:  WUSBAN	  34.700	  104.900	30		2						1		1				2						1		1		
1913		1851	4	2	10	48			 7.1		 7.1					8	CHILE		CHILE:  VALPARAISO	 -33.320	  -71.420	160		1						3		3				1						3		3		
6560	Tsu	1851	5	26	18	14			 7.2		 7.2					10	CHILE		CHILE:  COPIAPO	 -27.350	  -70.350	160								3		3										2		3		
1921	Tsu	1851	10	12	6				 6.6		 6.6					11	ALBANIA		ALBANIA:  VLORE (VALONA),BERAT; TURKEY	  40.500	   19.700	130	    2000	4						4		4			    2000	4						4		4		
9907	Tsu	1852	1	9				150	 6.5		 6.5					8	INDONESIA		INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG	  -6.500	  105.500	170								1				1								1				1
1928		1852	2	22			    	10	 5.8						 5.8	9	IRAN		IRAN:  KHABUSHAN (NW KUCHAN)	  37.100	   58.400	140	    2000	4						3																
1930		1852	5	26					 6.0		 6.0					8	CHINA		CHINA: NINGXIA	  37.500	  105.200	30	     300	3			       400	3		3	20000	4			     300	3			400	3		3	20000	4		
1931		1852	7	24			    		 7.3						 7.3		TURKEY		TURKEY	  39.900	   41.300	140	      17	1						1																
1933	Tsu	1852	9	16	10	45			 7.5		 7.5					9	PHILIPPINES		PHILIPPINES:  LUZON:  BATAAN, RIZAL, PAMPANGA,MANILA	  14.000	  120.500	170	       3	1			         1	1		3		3			       3	1			1	1		3		3		
6066	Tsu	1852	11	11	0	0			 6.8		 6.8						INDONESIA		INDONESIA:  SUMATRA:  SIBOLGA	   1.500	   98.000	170																								
1934	Tsu	1852	11	25	22	40		100	 8.3		 8.3					9	INDONESIA		INDONESIA:  MALUKU:  BANDANAIRA	  -5.250	  129.750	170								3		3			      60	2						3		3		
6534	Tsu	1852	11	29					 7.0		 7.0						MEXICO		N. MEXICO	  32.500	 -115.500	150																								
9883	Tsu	1852	12	24					 7.0		 7.0						INDONESIA		INDONESIA:  BANDANEIRA	  -5.000	  130.500	170								1		1				1						1		2		
1948	Tsu	1853	7	15				14	 6.7		 6.7					9	VENEZUELA		VENEZUELA:  CUMANA	  10.500	  -64.200	90	    1000	3						3		3			    1000	3						3		3		
6115	Tsu	1854	1	4					 6.0		 6.0						INDONESIA		INDONESIA:  BANDA SEA	  -3.500	  128.600	170																								
6118	Tsu	1854	8	4					 7.2		 7.2						COSTA RICA		COSTA RICA-PANAMA	   8.500	  -83.000	100																								
6119	Tsu	1854	8	6					 7.2		 7.2						COSTA RICA		COSTA RICA-PANAMA	   8.500	  -83.000	100																								
1969	Tsu	1854	12	23	0	0			 8.3		 8.3						JAPAN		JAPAN:  ENSHUNADA SEA	  34.000	  137.900	30	     300	3						3	600	3			    1000	3						4	8900	4		
1971	Tsu	1854	12	24	8	0	    		 8.4		 8.4						JAPAN		JAPAN:  NANKAIDO	  33.100	  135.000	30								3	10000	4			    3000	4						4	20000	4	15000	4
7983		1854	12	24					 5.5		 5.5					7	CHINA		CHINA: SICHUAN PROVINCE	  29.100	  107.100	30		3						2		2				3						2		2		
1973	Tsu	1855	1	23	9			33	 8.0		 8.0						NEW ZEALAND		NEW ZEALAND:  WELLINGTON,WAIOURU,WANGANUI,OTAKI	 -41.250	  175.000	170								3		3										2		3		
10041	Tsu	1855	2	11	12	0		25	 5.5				5.5				NEW ZEALAND		NEW ZEALAND	 -39.200	  177.600	170																								
