Series Name,Series Code,Country Name,Country Code,2014 [YR2014]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,1.31253090764642
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,3.79999999999987
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,4.80447270408375
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,4.8219802933227
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-2.55847744625616
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,3.49999999884847
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,2.4998512224341
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,0.353471065680438
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,2
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,"Bahamas, The",BHS,1.02278610479254
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bahrain,BHR,4.48093515168384
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bangladesh,BGD,6.06109305375394
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Barbados,BRB,0.180342651036966
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belarus,BLR,1.72308600283803
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belgium,BEL,1.29547335319668
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Belize,BLZ,4.08191649179518
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Benin,BEN,6.54148665115765
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bermuda,BMU,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bhutan,BTN,5.45881731232578
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bolivia,BOL,5.460569751994
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bosnia and Herzegovina,BIH,1.08187593166609
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Botswana,BWA,3.20391509263389
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brazil,BRA,0.103371359100009
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,British Virgin Islands,VGB,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Brunei Darussalam,BRN,-2.33999983542209
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Bulgaria,BGR,1.55000000000003
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burkina Faso,BFA,4.04779603140109
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Burundi,BDI,4.66091818447367
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cabo Verde,CPV,2.79984680285727
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cambodia,KHM,7.07152535164744
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cameroon,CMR,5.92696495921939
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Canada,CAN,2.47289263838321
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Cayman Islands,CYM,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Central African Republic,CAF,-1.25710848937553
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Chad,TCD,6.89998504532167
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Channel Islands,CHI,..
