minute,count
0,0
1,0
2,0
3,1
4,2
5,2
6,3
7,0
8,0
9,2
10,1
11,0
12,0
13,1
14,0
15,2
16,3
17,0
18,0
19,1
20,2
21,1
22,2
23,7
24,6
25,0
26,0
27,1
28,1
29,7
30,4
31,9
32,10
33,7
34,9
35,1
36,0
37,6
38,3
39,6
40,7
41,4
42,10
43,5
44,2
45,2
46,6
47,1
48,0
49,3
50,4
51,3
52,4
53,5
54,8
55,3
56,4
57,2
58,2
59,1
60,3
61,5
62,4
63,9
64,2
65,2
66,7
67,8
68,7
69,3
70,0
71,0
72,0
73,0
74,0
75,1
76,2
77,1
78,0
79,0
80,5
81,1
82,8
83,0
84,2
85,3
86,2
87,3
88,10
89,7
90,0
91,2
92,0
93,2
94,1
95,4
96,0
97,1
98,1
99,0
100,6
101,3
102,5
103,2
104,1
105,0
106,2
107,2
108,4
109,5
110,2
111,2
112,7
113,0
114,0
115,0
116,2
117,3
118,1
119,6
120,4
121,9
122,8
123,2
124,3
125,2
126,1
127,2
128,2
129,4
130,5
131,2
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,6
145,3
146,3
147,4
148,2
149,3
150,3
151,5
152,4
153,2
154,3
155,1
156,0
157,0
158,1
159,1
160,0
161,3
162,0
163,0
164,0
165,2
166,0
167,1
168,0
169,6
170,3
171,0
172,0
173,4
174,1
175,0
176,1
177,1
178,0
179,13
180,1
181,13
182,6
183,0
184,2
185,0
186,1
187,0
188,3
189,2
190,4
191,3
192,6
193,4
194,8
195,5
196,1
197,7
198,2
199,0
200,0
201,0
202,0
203,0
204,5
205,3
206,4
207,0
208,0
209,2
210,0
211,2
212,1
213,2
214,1
215,0
216,2
217,3
218,5
219,3
220,2
221,4
222,1
223,0
224,0
225,0
226,3
227,5
228,2
229,3
230,0
231,0
232,0
233,2
234,0
235,0
236,0
237,4
238,0
239,0
240,1
241,3
242,2
243,0
244,0
245,0
246,2
247,4
248,2
249,3
250,2
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,0
259,0
260,0
261,0
262,3
263,2
264,2
265,6
266,1
267,8
268,5
269,1
270,1
271,0
272,0
273,1
274,1
275,6
276,1
277,2
278,1
279,1
280,0
281,1
282,0
283,3
284,2
285,5
286,5
287,2
288,0
289,1
290,3
291,0
292,0
293,3
294,2
295,0
296,0
297,2
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,1
309,0
310,2
311,0
312,0
313,0
314,0
315,2
316,1
317,4
318,0
319,0
320,2
321,0
322,0
