minute,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,3
9,1
10,2
11,1
12,0
13,0
14,0
15,0
16,4
17,3
18,4
19,5
20,1
21,0
22,0
23,0
24,0
25,1
26,0
27,0
28,1
29,2
30,0
31,0
32,1
33,3
34,9
35,0
36,1
37,3
38,1
39,2
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,2
55,3
56,10
57,2
58,4
59,0
60,0
61,0
62,0
63,0
64,2
65,4
66,1
67,7
68,7
69,1
70,2
71,5
72,3
73,0
74,0
75,1
76,3
77,6
78,5
79,2
80,7
81,2
82,0
83,0
84,0
85,0
86,0
87,0
88,1
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,3
97,3
98,5
99,4
100,2
101,2
102,0
103,1
104,0
105,1
106,4
107,1
108,0
109,0
110,1
111,0
112,1
113,1
114,0
115,3
116,0
117,5
118,0
119,0
120,0
121,0
122,1
123,0
124,2
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,1
136,4
137,3
138,2
139,0
140,0
141,0
142,2
143,5
144,3
145,6
146,8
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,2
170,1
171,0
172,5
173,2
174,0
175,0
176,0
177,1
178,0
179,2
180,1
181,1
182,0
183,1
184,3
185,7
186,4
187,2
188,0
189,1
190,3
191,4
192,4
193,7
194,1
195,5
196,3
197,5
198,0
199,3
200,4
201,8
202,1
203,2
204,3
205,1
206,6
207,9
208,1
209,0
210,0
211,0
212,3
213,0
214,0
215,0
216,0
217,8
218,1
219,0
220,0
221,0
222,0
223,0
224,0
