minute,count
0,0
1,0
2,7
3,5
4,4
5,2
6,1
7,0
8,2
9,2
10,1
11,2
12,1
13,1
14,5
15,10
16,6
17,6
18,9
19,6
20,2
21,3
22,3
23,6
24,1
25,8
26,1
27,1
28,7
29,7
30,11
31,7
32,3
33,1
34,3
35,7
36,11
37,7
38,8
39,4
40,10
41,7
42,5
43,4
44,4
45,5
46,1
47,2
48,1
49,16
50,7
51,4
52,8
53,7
54,7
55,3
56,7
57,5
58,10
59,3
60,8
61,0
62,8
63,13
64,4
65,5
66,6
67,8
68,5
69,2
70,8
71,2
72,8
73,8
74,0
75,4
76,2
77,8
78,10
79,11
80,6
81,6
82,0
83,1
84,4
85,5
86,6
87,2
88,3
89,3
90,5
91,5
92,4
93,5
94,5
95,2
96,1
97,1
98,3
99,3
100,2
101,4
102,1
103,1
104,0
105,5
106,1
107,4
108,12
109,7
110,7
111,10
112,9
113,9
114,2
115,14
116,7
117,7
118,3
119,2
120,3
121,8
122,4
123,8
124,10
125,10
126,10
127,3
128,8
129,0
130,3
131,2
132,1
133,3
134,8
135,6
136,3
137,2
138,1
139,5
140,2
141,8
142,3
143,2
144,3
145,7
146,4
147,4
148,3
149,4
150,7
151,3
152,6
153,10
154,9
155,6
156,5
157,0
158,1
159,4
160,5
161,5
162,0
163,4
164,4
165,2
166,4
167,0
168,0
169,4
170,2
171,7
172,0
173,10
174,4
175,4
176,2
177,5
178,4
179,4
180,6
181,2
182,2
183,2
184,7
185,4
186,5
187,7
188,7
189,1
190,2
191,6
192,7
193,6
194,3
195,9
196,10
197,4
198,6
199,5
200,5
201,0
202,0
203,1
204,3
205,5
206,15
207,5
208,5
209,3
210,6
211,3
212,4
213,6
214,7
215,8
216,6
